algorithm_key,algorithm,text_length,pattern_length,k,mean_runtime_sec,median_runtime_sec,mean_matches,all_source_found
brute_force,Brute Force with k mismatches,2000,48,1,0.0005544100004044594,0.0005544100004044594,1.0,True
brute_force,Brute Force with k mismatches,2000,48,2,0.0008225700003094971,0.0008225700003094971,1.0,True
brute_force,Brute Force with k mismatches,4000,12,0,0.0008849394998833304,0.0008849394998833304,1.0,True
brute_force,Brute Force with k mismatches,4000,12,1,0.001142169000559079,0.001142169000559079,1.0,True
brute_force,Brute Force with k mismatches,4000,12,2,0.0014993439999670954,0.0014993439999670954,1.0,True
brute_force,Brute Force with k mismatches,4000,24,0,0.0007781499989505392,0.0007781499989505392,1.0,True
brute_force,Brute Force with k mismatches,4000,24,1,0.001167138500022702,0.001167138500022702,1.0,True
brute_force,Brute Force with k mismatches,4000,24,2,0.0014150095003060414,0.0014150095003060414,1.0,True
brute_force,Brute Force with k mismatches,4000,48,0,0.0007566385002064635,0.0007566385002064635,1.0,True
brute_force,Brute Force with k mismatches,4000,48,1,0.0011703509990184102,0.0011703509990184102,1.0,True
brute_force,Brute Force with k mismatches,4000,48,2,0.0014784265003982,0.0014784265003982,1.0,True
brute_force,Brute Force with k mismatches,8000,12,0,0.001384522499392915,0.001384522499392915,1.0,True
brute_force,Brute Force with k mismatches,8000,12,1,0.002403035999122949,0.002403035999122949,1.5,True
brute_force,Brute Force with k mismatches,8000,12,2,0.002904295999542228,0.002904295999542228,1.0,True
brute_force,Brute Force with k mismatches,8000,24,0,0.0013284394999573124,0.0013284394999573124,1.0,True
brute_force,Brute Force with k mismatches,8000,24,1,0.0020704115013359115,0.0020704115013359115,1.0,True
brute_force,Brute Force with k mismatches,8000,24,2,0.0029466555006365525,0.0029466555006365525,1.0,True
brute_force,Brute Force with k mismatches,8000,48,0,0.0013511735005522496,0.0013511735005522496,1.0,True
brute_force,Brute Force with k mismatches,8000,48,1,0.0019072245004281285,0.0019072245004281285,1.0,True
brute_force,Brute Force with k mismatches,8000,48,2,0.002802396000333829,0.002802396000333829,1.0,True
kmp,KMP-based Filtering + Verification,1000,12,0,0.00012425000022631139,0.00012425000022631139,1.0,True
kmp,KMP-based Filtering + Verification,1000,12,1,0.00020380100067995954,0.00020380100067995954,1.0,True
kmp,KMP-based Filtering + Verification,1000,12,2,0.0002978435004479252,0.0002978435004479252,1.0,True
kmp,KMP-based Filtering + Verification,1000,24,0,9.896750088955741e-05,9.896750088955741e-05,1.0,True
kmp,KMP-based Filtering + Verification,1000,24,1,0.00018798099972627824,0.00018798099972627824,1.0,True
kmp,KMP-based Filtering + Verification,1000,24,2,0.000296201999844925,0.000296201999844925,1.0,True
kmp,KMP-based Filtering + Verification,1000,48,0,0.0001032625004881993,0.0001032625004881993,1.0,True
kmp,KMP-based Filtering + Verification,1000,48,1,0.0002408520003882586,0.0002408520003882586,1.0,True
kmp,KMP-based Filtering + Verification,1000,48,2,0.000280417499197938,0.000280417499197938,1.0,True
kmp,KMP-based Filtering + Verification,2000,12,0,0.0001810670000850223,0.0001810670000850223,1.0,True
kmp,KMP-based Filtering + Verification,2000,12,1,0.0004051215000799857,0.0004051215000799857,1.0,True
kmp,KMP-based Filtering + Verification,2000,12,2,0.0005857695005033747,0.0005857695005033747,1.0,True
kmp,KMP-based Filtering + Verification,2000,24,0,0.00023386750035570003,0.00023386750035570003,1.0,True
kmp,KMP-based Filtering + Verification,2000,24,1,0.00035637149994727224,0.00035637149994727224,1.0,True
kmp,KMP-based Filtering + Verification,2000,24,2,0.0005124344997966546,0.0005124344997966546,1.0,True
kmp,KMP-based Filtering + Verification,2000,48,0,0.00019416249961068388,0.00019416249961068388,1.0,True
kmp,KMP-based Filtering + Verification,2000,48,1,0.0004285884997443645,0.0004285884997443645,1.0,True
kmp,KMP-based Filtering + Verification,2000,48,2,0.0005772829999841633,0.0005772829999841633,1.0,True
kmp,KMP-based Filtering + Verification,4000,12,0,0.0003609114992286777,0.0003609114992286777,1.0,True
kmp,KMP-based Filtering + Verification,4000,12,1,0.0007423559991366346,0.0007423559991366346,1.0,True
kmp,KMP-based Filtering + Verification,4000,12,2,0.001226190000124916,0.001226190000124916,1.0,True
kmp,KMP-based Filtering + Verification,4000,24,0,0.00034781599970301613,0.00034781599970301613,1.0,True
kmp,KMP-based Filtering + Verification,4000,24,1,0.0007105079994289554,0.0007105079994289554,1.0,True
kmp,KMP-based Filtering + Verification,4000,24,2,0.0010092940001413808,0.0010092940001413808,1.0,True
kmp,KMP-based Filtering + Verification,4000,48,0,0.00035860649950336665,0.00035860649950336665,1.0,True
kmp,KMP-based Filtering + Verification,4000,48,1,0.001040513999214454,0.001040513999214454,1.0,True
kmp,KMP-based Filtering + Verification,4000,48,2,0.0010567519993855967,0.0010567519993855967,1.0,True
kmp,KMP-based Filtering + Verification,8000,12,0,0.0006248105000850046,0.0006248105000850046,1.0,True
