genome,text_length,pattern_length,k,source_start,source_found,algorithm_key,algorithm,runtime_sec,num_matches,matches_preview
GCF_000005845.2,1000,48,2,333,True,brute_force,Brute Force with k mismatches,0.0003756829992198618,1,[333]
GCF_000005845.2,1000,48,2,333,True,rabin_karp,Rabin-Karp with Verification,0.0013494969989551464,1,[333]
GCF_000005845.2,1000,48,2,333,True,kmp,KMP-based Filtering + Verification,0.00029745899882982485,1,[333]
GCF_000005845.2,1000,48,2,333,True,boyer_moore,Boyer-Moore with Verification,0.0003043039996555308,1,[333]
GCF_000005845.2,1000,48,2,333,True,suffix_array,Suffix Array with Candidate Verification,0.001069848000042839,1,[333]
GCF_000005845.2,1000,48,2,333,True,suffix_tree,Suffix Tree with Backtracking,0.005901063999772305,1,[333]
GCF_000005845.2,2000,12,0,666,True,brute_force,Brute Force with k mismatches,0.00040215300032286905,1,[666]
GCF_000005845.2,2000,12,0,666,True,rabin_karp,Rabin-Karp with Verification,0.0015326239990827162,1,[666]
GCF_000005845.2,2000,12,0,666,True,kmp,KMP-based Filtering + Verification,0.0001864099995145807,1,[666]
GCF_000005845.2,2000,12,0,666,True,boyer_moore,Boyer-Moore with Verification,0.00036506700052996166,1,[666]
GCF_000005845.2,2000,12,0,666,True,suffix_array,Suffix Array with Candidate Verification,0.002444768000714248,1,[666]
GCF_000005845.2,2000,12,0,666,True,suffix_tree,Suffix Tree with Backtracking,0.007552000999567099,1,[666]
GCF_000005845.2,2000,12,1,666,True,brute_force,Brute Force with k mismatches,0.000613985999734723,1,[666]
GCF_000005845.2,2000,12,1,666,True,rabin_karp,Rabin-Karp with Verification,0.002111130001139827,1,[666]
GCF_000005845.2,2000,12,1,666,True,kmp,KMP-based Filtering + Verification,0.0004586550003295997,1,[666]
GCF_000005845.2,2000,12,1,666,True,boyer_moore,Boyer-Moore with Verification,0.000489874999402673,1,[666]
GCF_000005845.2,2000,12,1,666,True,suffix_array,Suffix Array with Candidate Verification,0.002808925999488565,1,[666]
GCF_000005845.2,2000,12,1,666,True,suffix_tree,Suffix Tree with Backtracking,0.13511620300050708,1,[666]
GCF_000005845.2,2000,12,2,666,True,brute_force,Brute Force with k mismatches,0.0007983699997566873,1,[666]
GCF_000005845.2,2000,12,2,666,True,rabin_karp,Rabin-Karp with Verification,0.0022234370007936377,1,[666]
GCF_000005845.2,2000,12,2,666,True,kmp,KMP-based Filtering + Verification,0.000626488001216785,1,[666]
GCF_000005845.2,2000,12,2,666,True,boyer_moore,Boyer-Moore with Verification,0.000826026998765883,1,[666]
GCF_000005845.2,2000,12,2,666,True,suffix_array,Suffix Array with Candidate Verification,0.0022976789987296797,1,[666]
GCF_000005845.2,2000,12,2,666,True,suffix_tree,Suffix Tree with Backtracking,0.012444678000974818,1,[666]
GCF_000005845.2,2000,24,0,666,True,brute_force,Brute Force with k mismatches,0.0006180359996506013,1,[666]
GCF_000005845.2,2000,24,0,666,True,rabin_karp,Rabin-Karp with Verification,0.002945677999377949,1,[666]
GCF_000005845.2,2000,24,0,666,True,kmp,KMP-based Filtering + Verification,0.000312055999529548,1,[666]
GCF_000005845.2,2000,24,0,666,True,boyer_moore,Boyer-Moore with Verification,0.0005555269999604207,1,[666]
GCF_000005845.2,2000,24,0,666,True,suffix_array,Suffix Array with Candidate Verification,0.002810322999721393,1,[666]
GCF_000005845.2,2000,24,0,666,True,suffix_tree,Suffix Tree with Backtracking,0.009610888000679552,1,[666]
GCF_000005845.2,2000,24,1,666,True,brute_force,Brute Force with k mismatches,0.0006207610003912123,1,[666]
GCF_000005845.2,2000,24,1,666,True,rabin_karp,Rabin-Karp with Verification,0.0023797440007911064,1,[666]
GCF_000005845.2,2000,24,1,666,True,kmp,KMP-based Filtering + Verification,0.00041116299871646333,1,[666]
GCF_000005845.2,2000,24,1,666,True,boyer_moore,Boyer-Moore with Verification,0.0006871810001030099,1,[666]
GCF_000005845.2,2000,24,1,666,True,suffix_array,Suffix Array with Candidate Verification,0.0031341829999291804,1,[666]
GCF_000005845.2,2000,24,1,666,True,suffix_tree,Suffix Tree with Backtracking,0.008652788999825134,1,[666]
GCF_000005845.2,2000,24,2,666,True,brute_force,Brute Force with k mismatches,0.0007722490008745808,1,[666]
GCF_000005845.2,2000,24,2,666,True,rabin_karp,Rabin-Karp with Verification,0.0023772290005581453,1,[666]
GCF_000005845.2,2000,24,2,666,True,kmp,KMP-based Filtering + Verification,0.0005635590005113045,1,[666]
GCF_000005845.2,2000,24,2,666,True,boyer_moore,Boyer-Moore with Verification,0.000727270000425051,1,[666]
GCF_000005845.2,2000,24,2,666,True,suffix_array,Suffix Array with Candidate Verification,0.0018430740001349477,1,[666]
GCF_000005845.2,2000,24,2,666,True,suffix_tree,Suffix Tree with Backtracking,0.007360212999628857,1,[666]
GCF_000005845.2,2000,48,0,666,True,brute_force,Brute Force with k mismatches,0.00033985399932134897,1,[666]
GCF_000005845.2,2000,48,0,666,True,rabin_karp,Rabin-Karp with Verification,0.0016578520007897168,1,[666]
GCF_000005845.2,2000,48,0,666,True,kmp,KMP-based Filtering + Verification,0.0002157439994334709,1,[666]
GCF_000005845.2,2000,48,0,666,True,boyer_moore,Boyer-Moore with Verification,0.00017300000035902485,1,[666]
GCF_000005845.2,2000,48,0,666,True,suffix_array,Suffix Array with Candidate Verification,0.0017739989998517558,1,[666]
GCF_000005845.2,2000,48,0,666,True,suffix_tree,Suffix Tree with Backtracking,0.008050118000028306,1,[666]
GCF_000005845.2,2000,48,1,666,True,brute_force,Brute Force with k mismatches,0.0005699150005966658,1,[666]
GCF_000005845.2,2000,48,1,666,True,rabin_karp,Rabin-Karp with Verification,0.0024493760010955157,1,[666]
GCF_000005845.2,2000,48,1,666,True,kmp,KMP-based Filtering + Verification,0.0005001419995096512,1,[666]
GCF_000005845.2,2000,48,1,666,True,boyer_moore,Boyer-Moore with Verification,0.000658406001093681,1,[666]
GCF_000005845.2,2000,48,1,666,True,suffix_array,Suffix Array with Candidate Verification,0.0020743929999298416,1,[666]
GCF_000005845.2,2000,48,1,666,True,suffix_tree,Suffix Tree with Backtracking,0.007939557001009234,1,[666]
GCF_000005845.2,2000,48,2,666,True,brute_force,Brute Force with k mismatches,0.0008763140012888471,1,[666]
GCF_000005845.2,2000,48,2,666,True,rabin_karp,Rabin-Karp with Verification,0.0027971219988103257,1,[666]
GCF_000005845.2,2000,48,2,666,True,kmp,KMP-based Filtering + Verification,0.0005877940002392279,1,[666]
GCF_000005845.2,2000,48,2,666,True,boyer_moore,Boyer-Moore with Verification,0.0006716749994666316,1,[666]
GCF_000005845.2,2000,48,2,666,True,suffix_array,Suffix Array with Candidate Verification,0.002954826999484794,1,[666]
GCF_000005845.2,2000,48,2,666,True,suffix_tree,Suffix Tree with Backtracking,0.00870412200129067,1,[666]
GCF_000005845.2,4000,12,0,1333,True,brute_force,Brute Force with k mismatches,0.001023961000100826,1,[1333]
GCF_000005845.2,4000,12,0,1333,True,rabin_karp,Rabin-Karp with Verification,0.0024087989986583125,1,[1333]
