algorithm,input_size,num_samples,num_correct,avg_runtime_sec,median_runtime_sec,min_runtime_sec,max_runtime_sec,total_runtime_sec,avg_pattern_len,avg_k,num_wrong,accuracy
KMP-based Filtering + Verification,10,10,10,6.67770036670845e-06,5.483499990077689e-06,2.8640006348723546e-06,1.4109000403550453e-05,6.67770036670845e-05,3.0,0.3,0,1.0
KMP-based Filtering + Verification,20,10,10,5.734699698223267e-06,4.260498826624826e-06,3.352999556227587e-06,1.0687001122278161e-05,5.734699698223267e-05,3.0,0.3,0,1.0
KMP-based Filtering + Verification,40,10,10,7.0059000790934075e-06,5.727500138164032e-06,5.099000190966763e-06,1.292200067837257e-05,7.005900079093408e-05,4.0,0.2,0,1.0
KMP-based Filtering + Verification,80,10,10,1.540159973956179e-05,1.3341499652597122e-05,8.102000720100477e-06,2.8707998353638686e-05,0.0001540159973956179,8.0,0.7,0,1.0
KMP-based Filtering + Verification,160,10,10,6.823500079917721e-05,7.047750023048138e-05,2.8707001547445543e-05,0.00012132700067013502,0.0006823500079917721,16.0,3.5,0,1.0
KMP-based Filtering + Verification,320,10,10,0.0002388474998952006,0.00023430749934050255,7.732199992460664e-05,0.000451990999863483,0.002388474998952006,32.0,6.5,0,1.0
KMP-based Filtering + Verification,640,10,10,0.0008384774997466593,0.0007078464996084222,0.00010798599942063447,0.002107473999785725,0.008384774997466593,64.0,11.9,0,1.0
KMP-based Filtering + Verification,1280,10,10,0.004078192399720138,0.0034165089991802233,0.001144679999924847,0.009102332000111346,0.040781923997201375,128.0,25.7,0,1.0
