file,sample_id,algorithm,input_size,text_len,pattern_len,k,runtime_sec,num_expected,num_pred,valid,expected,pred
dna_160.txt,6,KMP-based Filtering + Verification,160,160,16,4,7.53660006012069e-05,1,1,True,[70],[70]
dna_160.txt,7,KMP-based Filtering + Verification,160,160,16,3,5.2107001465628855e-05,1,1,True,[43],[43]
dna_160.txt,8,KMP-based Filtering + Verification,160,160,16,3,5.0291000661673024e-05,1,1,True,[22],[22]
dna_160.txt,9,KMP-based Filtering + Verification,160,160,16,4,7.138500041037332e-05,1,1,True,[52],[52]
dna_320.txt,0,KMP-based Filtering + Verification,320,320,32,10,0.000451990999863483,1,1,True,[29],[29]
dna_320.txt,1,KMP-based Filtering + Verification,320,320,32,7,0.000203538998903241,1,1,True,[20],[20]
dna_320.txt,2,KMP-based Filtering + Verification,320,320,32,4,0.00013243300054455176,1,1,True,[237],[237]
dna_320.txt,3,KMP-based Filtering + Verification,320,320,32,8,0.00026528599846642464,1,1,True,[67],[67]
dna_320.txt,4,KMP-based Filtering + Verification,320,320,32,9,0.00032004600143409334,1,1,True,[280],[280]
dna_320.txt,5,KMP-based Filtering + Verification,320,320,32,2,7.732199992460664e-05,1,1,True,[136],[136]
dna_320.txt,6,KMP-based Filtering + Verification,320,320,32,8,0.0002650759997777641,1,1,True,[83],[83]
dna_320.txt,7,KMP-based Filtering + Verification,320,320,32,4,0.00012970900024811272,1,1,True,[15],[15]
dna_320.txt,8,KMP-based Filtering + Verification,320,320,32,10,0.00044102399988332763,1,1,True,[207],[207]
dna_320.txt,9,KMP-based Filtering + Verification,320,320,32,3,0.00010204899990640115,1,1,True,[3],[3]
dna_640.txt,0,KMP-based Filtering + Verification,640,640,64,1,0.00010798599942063447,1,1,True,[564],[564]
dna_640.txt,1,KMP-based Filtering + Verification,640,640,64,20,0.0014080100008868612,1,1,True,[338],[338]
dna_640.txt,2,KMP-based Filtering + Verification,640,640,64,9,0.0005510360006155679,1,1,True,[314],[314]
dna_640.txt,3,KMP-based Filtering + Verification,640,640,64,21,0.002107473999785725,1,1,True,[183],[183]
dna_640.txt,4,KMP-based Filtering + Verification,640,640,64,5,0.0003111059995717369,1,1,True,[215],[215]
dna_640.txt,5,KMP-based Filtering + Verification,640,640,64,15,0.0009090109997487161,1,1,True,[334],[334]
dna_640.txt,6,KMP-based Filtering + Verification,640,640,64,11,0.0006311529996310128,1,1,True,[123],[123]
dna_640.txt,7,KMP-based Filtering + Verification,640,640,64,8,0.0004691039994213497,1,1,True,[233],[233]
dna_640.txt,8,KMP-based Filtering + Verification,640,640,64,16,0.0011053549987991573,1,1,True,[50],[50]
dna_640.txt,9,KMP-based Filtering + Verification,640,640,64,13,0.0007845399995858315,1,1,True,[525],[525]
dna_1280.txt,0,KMP-based Filtering + Verification,1280,1280,128,24,0.0027741809990402544,1,1,True,[422],[422]
dna_1280.txt,1,KMP-based Filtering + Verification,1280,1280,128,36,0.005899420000787359,1,1,True,[983],[983]
dna_1280.txt,2,KMP-based Filtering + Verification,1280,1280,128,12,0.0015132720000110567,1,1,True,[1034],[1034]
dna_1280.txt,3,KMP-based Filtering + Verification,1280,1280,128,14,0.0017099649994634092,1,1,True,[38],[38]
dna_1280.txt,4,KMP-based Filtering + Verification,1280,1280,128,9,0.001144679999924847,1,1,True,[218],[218]
dna_1280.txt,5,KMP-based Filtering + Verification,1280,1280,128,30,0.004058836999320192,1,1,True,[35],[35]
dna_1280.txt,6,KMP-based Filtering + Verification,1280,1280,128,35,0.006135228999482933,1,1,True,[753],[753]
dna_1280.txt,7,KMP-based Filtering + Verification,1280,1280,128,41,0.006798302998504369,1,1,True,[133],[133]
dna_1280.txt,8,KMP-based Filtering + Verification,1280,1280,128,42,0.009102332000111346,1,1,True,[240],[240]
dna_1280.txt,9,KMP-based Filtering + Verification,1280,1280,128,14,0.0016457050005556084,1,1,True,[135],[135]
