algorithm,input_size,num_samples,num_correct,avg_runtime_sec,median_runtime_sec,min_runtime_sec,max_runtime_sec,total_runtime_sec,avg_pattern_len,avg_k,num_wrong,accuracy
Brute Force with k mismatches,10,10,10,3.576500057533849e-06,3.352999556227587e-06,2.4450000637443736e-06,6.636000762227923e-06,3.576500057533849e-05,3.0,0.3,0,1.0
Brute Force with k mismatches,20,10,10,4.4495998736238105e-06,4.29600004281383e-06,3.772000127355568e-06,5.239000529400073e-06,4.449599873623811e-05,3.0,0.3,0,1.0
Brute Force with k mismatches,40,10,10,7.020000157353934e-06,6.704999577777926e-06,6.1470000218832865e-06,8.941000487538986e-06,7.020000157353934e-05,4.0,0.2,0,1.0
Brute Force with k mismatches,80,10,10,1.4270900283008815e-05,1.3167499673727434e-05,1.0896999810938723e-05,2.1026000467827544e-05,0.00014270900283008814,8.0,0.7,0,1.0
Brute Force with k mismatches,160,10,10,5.438059979496756e-05,5.7837999520415906e-05,2.9128999813110568e-05,6.817599933128804e-05,0.0005438059979496757,16.0,3.5,0,1.0
Brute Force with k mismatches,320,10,10,0.00016608940004516625,0.00018231650028610602,8.109900045383256e-05,0.00023931699979584664,0.0016608940004516626,32.0,6.5,0,1.0
Brute Force with k mismatches,640,10,10,0.0006144623002910521,0.0006485154999609222,0.00012650400094571523,0.000992751000012504,0.006144623002910521,64.0,11.9,0,1.0
Brute Force with k mismatches,1280,10,10,0.0026515237002968208,0.002778893999675347,0.0010704980013542809,0.004200543000479229,0.026515237002968206,128.0,25.7,0,1.0
